cardholder_name,card_number,merchant_name,merchant_category,amount,hour,distance_from_home,is_online,is_foreign,velocity_last_hour,is_fraud
Danielle Mcdaniel,4571715918333356,"Merchant: Smith, Gilbert and Berg",grocery,23.41,7,6.32,0,0,2,0
Lisa James,4255013584103417,Merchant: Camacho LLC,grocery,20.38,14,11.35,0,1,1,0
Jeremy Smith,4373202201738229,"Merchant: Acosta, Woodard and Vasquez",grocery,121.89,11,7.28,0,0,0,0
Andrea Lee,4068686630709969,Merchant: Spencer Ltd,grocery,45.72,13,8.52,0,0,0,0
Brenda Harris,4886399875681923,"Merchant: Harvey, Snow and Thomas",online_shopping,36.96,10,10.07,1,0,3,0
Kevin Guerra,4911029849383509,"Merchant: Perez, French and Turner",grocery,30.29,15,0.56,1,0,2,0
Cynthia Miller,4275329694863203,"Merchant: Johnson, Hernandez and Tran",online_shopping,13.74,13,0.85,1,0,0,0
Emily Griffith,4306533239691184,"Merchant: Winters, Howell and Smith",grocery,33.1,4,4.28,0,0,5,0
Christopher Wright,4641151644659235,Merchant: Jones-Kirby,dining,71.72,14,15.88,0,0,1,0
Jerome Reid,4597826900800474,"Merchant: Smith, Perez and Harper",electronics,71.12,13,27.6,1,0,1,0
Richard Miller,4322600888439130,"Merchant: Moody, Morton and Miller",grocery,53.04,7,12.68,0,0,1,0
Jennifer Jackson,4973105388893127,Merchant: Gilbert PLC,online_shopping,208.07,12,2.22,0,0,1,0
Jonathan Moss,4442823616010974,"Merchant: Coleman, Stafford and Crawford",grocery,12.33,13,9.73,0,0,0,0
Sally Leon,4893821210151065,"Merchant: Fox, Ellis and Doyle",grocery,47.08,15,6.28,1,0,0,0
James Dickerson,4978497042097764,"Merchant: Foster, Lewis and Diaz",dining,29.36,11,15.63,0,0,1,0
Tammy Larson,4310094531942233,"Merchant: Thomas, Jennings and Dodson",dining,18.02,9,10.22,0,0,0,0
Nicholas Scott,4532714725076231,"Merchant: Wells, Walsh and Martinez",dining,10.46,18,28.18,0,1,0,0
Jesse Brooks,4275094448317498,Merchant: Swanson-Bailey,gas_station,91.38,10,22.72,0,0,2,0
Andrea Taylor,4601616876307370,"Merchant: Owens, Stout and Kim",gas_station,18.79,13,3.4,1,0,1,0
Christopher Lopez,4257584836391701,"Merchant: Bowman, Friedman and Hensley",grocery,47.42,12,3.92,0,0,0,0
Jonathan Swanson,4389881029578826,"Merchant: Mendoza, Nguyen and Smith",grocery,30.68,12,1.92,0,0,1,0
Timothy Bentley DVM,4335862342234227,Merchant: Smith-Ortega,dining,6.18,14,27.02,1,0,1,0
John Davidson,4410144230566574,"Merchant: Anderson, Ramirez and Ponce",grocery,22.17,11,6.52,0,0,1,0
Jennifer Williams,4606125174342100,"Merchant: Davis, Mendez and Ayers",grocery,35.94,18,7.31,1,0,1,0
Janice Cunningham,4398893903169647,Merchant: Gardner and Sons,travel,182.33,6,23.7,0,0,3,0
Jeffrey Scott,4680268748511765,Merchant: Howard-Beard,electronics,46.27,6,10.98,0,0,1,0
Miranda Hicks,4124768597664692,Merchant: Jones PLC,electronics,19.26,14,11.62,0,0,1,0
Michael Horton DDS,4659028277469489,"Merchant: Mckinney, Clayton and Shah",online_shopping,22.71,22,2.97,1,0,0,0
Nancy Allen,4545763447820017,"Merchant: Love, Cervantes and Michael",online_shopping,6.69,2,18.35,0,0,1,0
Robert Mccoy,4768352813724209,Merchant: Graham Ltd,grocery,27.28,13,4.34,0,0,2,0
Melissa Brewer,4653521705726773,Merchant: Hernandez PLC,grocery,29.46,17,14.64,1,0,1,0
Jesus Becker,4002030433077903,Merchant: Hoffman LLC,dining,26.34,15,0.3,0,0,2,0
Lance Lynn,4121532388409953,Merchant: Mclaughlin Inc,grocery,4.13,17,5.96,0,0,0,0
Alexandria Wise,4506271810631984,"Merchant: Rios, Warren and Butler",gas_station,63.61,12,54.03,1,0,0,0
Sydney Sanders,4448066764629062,Merchant: Tran Ltd,electronics,68.87,10,11.21,0,0,4,0
Stephanie Stone,4165126547370425,Merchant: Roberts-Neal,gas_station,39.56,13,11.96,1,0,0,0
Jay Gallegos,4415238778700093,Merchant: Giles Inc,grocery,3.56,6,16.39,1,0,1,0
Eric Ponce,4450693576338122,Merchant: Chase Ltd,dining,44.15,9,30.39,0,0,1,0
Janet Parker,4543360620376024,"Merchant: Hanson, Haley and Charles",travel,28.51,15,4.54,0,0,2,0
Shawn Luna,4707373668031692,Merchant: Miller LLC,travel,21.35,16,2.64,1,0,1,0
Mark Frank,4607904660055932,"Merchant: Miller, Zimmerman and Gonzalez",electronics,156.76,9,14.57,0,0,2,0
Charles Goodman,4994934499161594,Merchant: Knapp-Hunt,electronics,27.85,11,5.78,1,0,0,0
Jennifer Parker,4287982622555741,"Merchant: Flores, Harding and Johnson",gas_station,17.05,21,8.44,0,0,0,0
Dr. April Jones,4945089066036347,Merchant: Wilson PLC,grocery,39.52,19,4.56,1,0,2,0
Kelly Pena,4916169313336347,Merchant: Galloway and Sons,grocery,11.67,12,3.01,1,0,2,0
Carolyn Brooks,4280433264445814,"Merchant: Rich, Stephens and Garcia",dining,30.34,8,6.43,0,0,0,0
Christina White,4494615286815915,Merchant: Singh-Mendoza,grocery,13.63,11,11.38,1,0,1,0
Joanne Olsen,4674079491790607,Merchant: Nelson PLC,online_shopping,34.21,14,35.27,1,0,2,0
Anthony White,4257060298224896,Merchant: Gardner Inc,gas_station,63.76,7,9.96,0,0,2,0
Deanna Barrera,4147067596500020,Merchant: Perkins and Sons,gas_station,13.37,6,20.99,1,0,1,0
Mark Weber,4979764704860162,"Merchant: Brown, Ellis and Baker",grocery,28.27,19,5.78,0,0,0,0
Carol Carter,4612466256951257,"Merchant: Harvey, White and Fox",electronics,18.26,5,3.08,0,0,0,0
Donald Peterson,4628026142284743,"Merchant: Sutton, Burke and Dyer",grocery,63.6,21,5.42,0,0,0,0
Karen Chambers,4978513681948040,Merchant: Blankenship-Johnson,grocery,10.51,5,2.88,0,0,0,0
Antonio Walton,4635800272917145,Merchant: Rollins-Parks,travel,19.98,17,1.7,0,0,1,0
Kevin Huerta,4121290588841935,Merchant: Becker Inc,grocery,6.77,14,11.49,0,0,0,0
Joseph Smith,4263134946078186,Merchant: Collier-Paul,online_shopping,82.82,7,0.55,0,0,1,0
Victoria Juarez,4952193852229312,Merchant: Murray Group,grocery,18.92,10,0.27,1,0,4,0
Kara Rogers,4423115479704998,Merchant: Warren Group,gas_station,44.44,8,0.53,1,0,2,0
Jacob Wu,4120605395432845,Merchant: Anderson PLC,dining,16.89,7,35.34,1,0,1,0
Dr. Teresa Ortega MD,4129938788431079,"Merchant: May, Bennett and Duncan",gas_station,37.3,12,18.35,0,0,1,0
Henry Rivera,4914876427300926,"Merchant: Roberson, Howe and Carroll",dining,10.6,9,1.73,0,0,3,0
Jesus Hale,4188706983292408,Merchant: Larson-Mahoney,grocery,50.02,15,35.88,0,0,2,0
Stacy Taylor,4162801680732812,"Merchant: Hopkins, Love and Stevenson",travel,7.01,7,39.01,1,0,2,0
Sheila Ramirez,4507721889066503,"Merchant: Kelly, Bennett and Jones",electronics,26.25,10,3.72,0,0,1,0
Robin Richardson,4655340026716175,"Merchant: White, Brown and Morgan",grocery,55.75,7,30.85,0,0,1,0
Mary Alvarez,4775399543161187,Merchant: Juarez-Martin,online_shopping,82.75,9,0.74,0,0,2,0
Cole Andersen,4981421859293006,"Merchant: Miller, Vincent and Jenkins",grocery,13.86,14,12.48,0,0,1,0
Robin Smith,4492294689761662,Merchant: Russell and Sons,online_shopping,28.38,11,0.91,0,0,3,0
Angel Aguirre,4185700109207377,Merchant: Hooper-Taylor,dining,29.99,13,5.96,1,0,1,0
Jeremy Lawson,4655719557290348,Merchant: Horton-Reyes,grocery,30.12,9,17.15,0,0,3,0
Lonnie Miller,4386517673727250,"Merchant: Sims, Hampton and Martin",grocery,25.27,17,6.8,0,0,1,0
Timothy Galvan,4635931215100992,"Merchant: Morrison, Davies and Mosley",online_shopping,9.87,9,5.28,0,0,1,0
Dr. Susan Navarro,4299824861311038,Merchant: Velasquez-Johnson,online_shopping,29.32,14,16.46,0,0,2,0
Cory Thomas,4807710912045938,Merchant: Matthews LLC,grocery,34.11,14,1.91,1,0,2,0
Laura Vincent,4959638453546814,Merchant: Ayers-Riley,online_shopping,34.64,15,17.38,0,1,1,0
Bethany Robles,4623003736375703,"Merchant: Page, Harrison and Reed",electronics,46.93,9,17.43,1,0,2,0
Michael Dunn,4518077833682615,"Merchant: Wilson, King and Phillips",grocery,25.11,10,13.63,0,0,0,0
Carol Griffin,4464557531002665,Merchant: Adams-Carson,grocery,80.88,9,7.21,0,0,0,0
Matthew Allen,4427571489125523,Merchant: Hall Ltd,online_shopping,9.16,13,61.02,1,0,1,0
Paul Keller,4653979447401586,"Merchant: Jones, Vazquez and Blackwell",online_shopping,26.87,7,2.92,1,0,1,0
Jeffrey Baldwin,4684927254528325,Merchant: Larsen Group,online_shopping,43.05,13,5.2,0,0,1,0
Timothy Orr,4023089122943978,Merchant: Graves PLC,online_shopping,265.7,12,20.52,1,0,0,0
Connie Scott,4501023941429001,Merchant: Horne-Olson,online_shopping,28.34,9,0.1,0,0,3,0
Steven Martinez,4017749192832496,"Merchant: Simpson, Cain and Norris",dining,34.33,15,3.01,0,0,1,0
Joseph Swanson,4110967024911694,"Merchant: Bradford, Brown and Singh",dining,39.12,13,14.86,1,0,1,0
Michael Wiggins,4478776297467938,"Merchant: Jackson, Williams and Hamilton",dining,13.2,19,2.59,0,0,0,0
Pamela Burke,4721782192790064,"Merchant: Valentine, Howard and Williams",online_shopping,118.37,11,11.36,0,0,0,0
Jamie Love,4642873457635874,Merchant: Morgan-Clark,dining,41.82,13,22.84,1,0,2,0
Jane May,4111354925867458,Merchant: Estes-Jackson,electronics,14.07,10,10.88,0,0,0,0
Savannah Stokes,4443132815613680,Merchant: Mcmillan-Jenkins,online_shopping,15.08,8,2.5,1,0,2,0
Brian Miller,4332904608467407,Merchant: Young PLC,gas_station,64.94,0,13.83,0,0,2,0
Patrick Pineda,4248018799971797,Merchant: Landry-Winters,grocery,18.82,16,1.3,1,0,2,0
Audrey Richardson,4848152771152755,Merchant: Moreno-Underwood,dining,8.46,16,12.86,0,0,1,0
Tiffany Ray,4736132040632238,Merchant: Brown and Sons,online_shopping,21.41,12,2.98,1,1,1,0
Antonio Nichols,4281979911130737,Merchant: Sellers-Perez,dining,8.38,13,10.73,0,0,1,0
Veronica Flores,4619671979697813,Merchant: Rivera-Reese,online_shopping,46.12,5,4.03,0,0,1,0
Michael Hogan,4266714168265970,"Merchant: Kelley, Cochran and Kennedy",grocery,15.75,14,21.62,0,0,0,0
Lindsay Walker,4073212712151971,"Merchant: Ortiz, Lopez and Acevedo",grocery,10.98,13,10.33,0,0,0,0
Joshua Murray,4962731673499289,Merchant: Edwards-Meyer,grocery,15.23,8,9.8,0,0,0,0
Tommy Hood,4267861784054855,Merchant: Mann-Miller,electronics,26.23,8,1.74,0,0,0,0
Mr. Kyle Thomas DDS,4206126873701442,Merchant: Craig-Richard,gas_station,7.45,11,6.38,0,0,1,0
Michele George,4715892781259831,Merchant: Scott Ltd,grocery,34.34,12,11.16,0,0,1,0
William Martinez,4991979368642151,Merchant: Wilcox-Black,online_shopping,14.84,19,15.41,1,0,4,0
Michelle Mendoza DVM,4126109128277563,Merchant: Collins and Sons,grocery,9.71,10,2.39,1,0,0,0
Michael Bennett DVM,4399837673264269,"Merchant: Collier, Hayes and Terry",online_shopping,48.73,5,27.38,0,0,1,0
Ronald Clark,4773014235279435,Merchant: Chung LLC,online_shopping,44.73,11,17.02,1,0,1,0
Rita Graves,4071627664784861,Merchant: Wilson Inc,online_shopping,18.11,9,4.09,0,0,1,0
Sean White,4564131066602973,Merchant: Tapia-Edwards,dining,41.14,12,6.85,0,0,2,0
Mr. William Hopkins,4945135609901487,Merchant: Miller and Sons,online_shopping,55.44,17,19.74,1,0,1,0
Wendy Kelley,4681065950363268,"Merchant: Mcconnell, Johnson and Jennings",grocery,33.83,15,0.74,0,0,1,0
Michael Mooney,4375054322602786,"Merchant: Nguyen, Kane and Miranda",grocery,26.32,15,12.48,1,1,0,0
Jeanne Rose,4624068375945875,"Merchant: Dean, Perry and Jones",dining,21.05,21,13.99,0,0,1,0
Michael Lee,4230710564006748,Merchant: Rose-Merritt,grocery,47.88,16,3.5,0,0,2,0
Jennifer Anderson,4586795240874155,Merchant: Johnson-Robinson,dining,41.79,14,0.1,0,0,1,0
Lauren Trujillo,4075764496392146,"Merchant: Matthews, Park and Marshall",online_shopping,54.33,5,46.91,0,0,2,0
Michelle Ellis,4964240436545196,"Merchant: Hall, Perez and Silva",grocery,22.07,15,11.55,0,0,2,0
Chad Dominguez,4600222656799265,Merchant: Vasquez-Cline,online_shopping,22.75,13,19.51,0,1,2,0
Charles Robinson,4243417814808965,Merchant: Baker and Sons,online_shopping,28.85,3,30.19,1,0,0,0
Nancy Smith,4861469211936874,Merchant: Robbins-Espinoza,gas_station,42.2,6,13.65,1,0,1,0
Laura Gregory,4741228767044475,"Merchant: Bennett, Cochran and Taylor",travel,40.21,14,25.14,0,1,0,0
Brittany Clements MD,4869413904080865,"Merchant: Flores, Young and Perez",dining,38.6,8,5.42,0,0,0,0
Tammy Davis,4835571427093193,"Merchant: Butler, Cruz and Oneal",online_shopping,45.44,7,29.69,0,0,0,0
Catherine Williams,4212595353241263,Merchant: Anderson PLC,electronics,38.11,9,0.7,1,0,0,0
Miss Leslie Booker,4620685660902883,Merchant: Massey and Sons,grocery,35.96,12,2.65,1,0,2,0
Jennifer Johnson,4411112015026154,Merchant: Richards-Phillips,travel,52.54,7,2.58,0,0,1,0
John Watts,4427714104528875,Merchant: Barrera Inc,online_shopping,175.71,9,32.2,0,0,0,0
Marissa Bennett,4468809049526057,Merchant: Johnston Ltd,gas_station,86.79,0,5.79,0,0,1,0
Rebecca Barrett,4854641372811224,Merchant: Brooks Inc,gas_station,12.08,17,14.38,0,0,3,0
Sharon Santos,4144886366802958,Merchant: Johnson-Pham,grocery,9.73,7,12.48,0,0,1,0
Matthew Richardson,4485997526570059,"Merchant: Cooper, Hale and Mathews",dining,40.98,13,4.54,0,0,0,0
Bradley Burns,4284432908116092,"Merchant: Anderson, Key and Scott",grocery,39.5,13,2.42,0,0,3,0
Katrina Johnson,4293956136151009,Merchant: Bennett-Owen,grocery,19.33,22,4.47,1,0,1,0
Laura Hill,4749212096986004,Merchant: Hill-Thompson,online_shopping,160.14,13,0.28,0,0,2,0
Rebecca White,4757155562394766,Merchant: Warner and Sons,grocery,78.81,8,16.1,0,0,1,0
Mr. Jeffrey Duncan,4691457859095190,Merchant: Thomas and Sons,gas_station,24.62,0,17.53,0,0,0,0
Arthur Stout,4959905603266258,Merchant: Howard PLC,grocery,17.97,12,16.69,0,0,1,0
Cathy Hess,4031530870330249,Merchant: Hickman Ltd,dining,31.18,10,1.42,0,0,1,0
Justin Herrera,4776968870641083,Merchant: Nichols-Rice,online_shopping,33.78,14,8.93,0,0,2,0
Katherine Stone,4910729967224853,"Merchant: Jackson, Garner and Keller",grocery,25.2,21,4.62,0,0,2,0
Michelle Tyler,4157034349171001,Merchant: Maxwell-Ortiz,grocery,35.39,15,8.53,1,0,1,0
Paul Sheppard,4570583349437472,"Merchant: Richardson, Washington and Rhodes",gas_station,77.22,18,12.17,0,0,0,0
Catherine George,4063685399286362,Merchant: Crane-Phillips,electronics,108.5,5,50.25,1,0,3,0
Justin Mcbride,4411525641650644,Merchant: Martin-Webb,online_shopping,11.13,10,0.1,1,0,0,0
Carl Harris,4305406965148268,"Merchant: Williams, Miller and Jones",dining,66.73,13,7.48,1,0,1,0
Justin York,4725639300922417,"Merchant: Walker, Smith and Newman",online_shopping,75.66,21,14.86,1,0,2,1
William Hunter,4771553673174212,Merchant: Rowland-Ellison,grocery,19.81,7,1.33,0,0,2,0
Joshua Henderson,4521926936099702,Merchant: Carr Ltd,online_shopping,62.83,11,16.01,0,0,0,0
April Turner,4399551310398683,Merchant: Sanchez-Miller,electronics,18.31,14,15.14,0,0,0,0
Kelly Patton,4359412307567459,"Merchant: Key, Lopez and Parker",online_shopping,179.6,16,3.06,0,0,1,0
Jill Ray,4770964225638516,Merchant: Rodriguez PLC,grocery,40.22,2,5.61,0,0,4,0
Kelly Andersen,4031219144238145,Merchant: Duran-Ibarra,grocery,47.54,17,7.34,0,0,2,0
Joshua Clark,4403274154642256,Merchant: Williams LLC,gas_station,26.31,10,2.19,0,0,2,0
Robert Young,4922719207441140,"Merchant: Elliott, Klein and Martinez",grocery,39.14,7,50.83,0,0,0,0
Elijah Wall,4297832845381292,Merchant: Shaw-Jennings,dining,23.92,8,10.51,0,0,2,0
Lindsey Robinson,4660400989368704,Merchant: Thompson PLC,dining,41.35,12,38.54,0,0,1,0
Carl Dean,4721518474400059,Merchant: Lopez-Lowe,online_shopping,30.07,12,3.39,0,0,1,0
David James,4312226492327248,Merchant: Hill Group,grocery,31.6,10,3.11,0,0,0,0
Jennifer Miller,4503893476499522,"Merchant: Bates, Taylor and Smith",dining,20.38,12,14.19,0,0,2,0
Jeffery Neal,4253774226716484,Merchant: Cannon-Brewer,dining,50.09,9,4.44,0,0,1,0
Andrea Oconnor,4351454626055384,"Merchant: Cohen, Glenn and Perez",grocery,58.81,10,0.12,0,0,1,0
Melissa Lee MD,4558859918903474,"Merchant: Curtis, Huang and Bennett",grocery,17.4,17,2.56,0,0,0,0
Samantha Jacobs,4449958539111302,Merchant: Bishop-Brooks,grocery,6.89,9,32.87,0,0,1,0
Christian Riddle,4212161762519730,"Merchant: Alexander, Gordon and Arnold",electronics,27.47,10,18.4,0,0,3,0
Alexander Munoz,4029833126528101,Merchant: King-Jones,grocery,16.85,13,0.15,0,0,0,0
Caleb Rodriguez,4749888710548401,"Merchant: Reeves, Whitaker and Morgan",grocery,13.8,8,17.99,1,0,1,0
Andrea Bowman,4380086665815396,"Merchant: Kennedy, Nichols and Johns",online_shopping,30.22,21,21.3,0,0,0,0
Gavin Nelson,4622339364695496,Merchant: Gardner-Avila,online_shopping,33.25,21,1.4,0,0,0,0
Courtney Smith,4659205488850737,"Merchant: Klein, Morgan and Martin",grocery,27.86,5,0.1,0,0,1,0
Wayne Gray,4579162907726922,Merchant: Atkins-Hurley,online_shopping,66.55,10,0.93,0,0,1,0
Timothy Thompson,4232099662725070,Merchant: Williams-Martinez,grocery,16.93,6,1.8,0,0,0,0
Elizabeth Nicholson,4120084075882226,Merchant: Lee and Sons,grocery,62.65,11,12.74,0,0,0,0
Joseph Graves PhD,4248599317858780,Merchant: Burke Ltd,dining,91.46,8,10.25,0,0,0,0
Lisa Mosley,4340538676770373,"Merchant: Farmer, Villarreal and Martin",online_shopping,12.23,12,3.55,0,0,0,0
Travis Price,4796728036719991,Merchant: Stewart Inc,dining,19.92,15,39.56,0,0,0,0
Patrick Faulkner,4650123578223948,Merchant: Reyes-Jordan,travel,28.06,10,61.69,0,0,1,0
Linda Atkinson,4083406262953640,Merchant: Baker Group,online_shopping,30.0,3,87.78,1,1,3,1
Cameron Smith,4148777459941884,"Merchant: Lopez, Roberts and Nelson",grocery,10.25,15,1.17,0,0,1,0
Brittney Martinez,4680898809320795,Merchant: Watkins Ltd,grocery,14.83,15,21.44,1,0,1,0
Nicolas Brown,4448175525391258,Merchant: Oneal Group,grocery,10.69,20,2.16,0,0,2,0
Vanessa Zimmerman,4250030897376022,Merchant: Schwartz Ltd,gas_station,53.44,9,4.08,0,0,0,0
Lee Mann,4870332158363032,Merchant: Bailey-Sexton,electronics,19.52,16,2.15,0,0,0,0
William Lindsey,4858674360489881,Merchant: Collins Ltd,grocery,35.89,14,7.83,0,0,1,0
Desiree Patterson,4362817506094714,Merchant: Wiggins-Lynn,grocery,29.55,15,15.63,1,0,1,0
Sierra Cervantes,4695131914296731,Merchant: Smith PLC,grocery,26.12,15,36.0,0,0,1,0
Scott Meza,4746863864610789,"Merchant: Bryant, Shields and Lee",grocery,67.86,16,30.42,1,0,0,0
Erik Davis,4277949176558985,Merchant: Aguilar-Jones,electronics,32.96,23,4.83,0,0,1,0
Nicholas Duffy,4391627049141855,Merchant: Gonzales PLC,grocery,30.27,11,2.77,0,0,1,0
Anthony Paul,4233383167290031,Merchant: Boyd-Jones,online_shopping,48.88,10,29.03,1,0,2,0
Katherine Baxter,4247094195130743,Merchant: Smith Group,dining,13.05,9,4.15,0,0,0,0
Jessica Romero,4529003592057085,"Merchant: Flores, Gray and Suarez",grocery,52.57,14,11.86,0,0,1,0
Karen Robertson,4922630307837162,"Merchant: Mccann, Simmons and Daniels",grocery,19.52,7,5.15,1,0,1,0
Dr. Melissa Sullivan DDS,4294612579812339,"Merchant: Jordan, Mueller and Robertson",grocery,15.97,9,22.86,0,0,1,0
Nichole Klein,4603089925631141,Merchant: Shepard and Sons,grocery,35.3,15,11.58,1,0,1,0
Nicole Sanchez,4215308040276172,Merchant: Jones Group,gas_station,16.67,12,31.56,0,0,1,0
Tiffany Morrow,4812893323454221,Merchant: Hood-Patrick,online_shopping,39.74,17,10.03,1,0,0,0
Kelsey Lynch,4177816214276568,Merchant: Harris LLC,online_shopping,24.81,10,0.14,0,0,2,0
Traci Craig,4707621416350214,Merchant: Bishop and Sons,dining,42.7,13,2.84,0,0,3,0
Kelly Walker,4210611410645586,Merchant: Turner and Sons,grocery,10.62,10,15.99,1,0,1,0
Ryan Palmer,4009412445161946,"Merchant: Russell, Moore and Lewis",dining,45.13,14,15.45,0,0,1,0
Jenny Gray,4537092387983233,Merchant: Smith Inc,grocery,20.97,9,1.55,1,0,4,0
Brian Sloan,4367709895342512,Merchant: Chandler-Murphy,grocery,16.69,12,28.2,0,0,1,0
Joshua Miranda,4013588121555248,Merchant: Ray Group,grocery,37.48,21,5.91,0,0,1,0
Edwin Carter,4087130161880417,Merchant: Garcia Ltd,dining,55.44,16,26.1,0,0,1,0
Oscar Carroll,4212610906102969,"Merchant: Barnes, Bryant and Harding",gas_station,47.55,14,13.92,0,0,0,0
Eric Fitzpatrick,4469778034931631,Merchant: Mcdonald-Howard,online_shopping,98.67,6,1.68,0,0,2,0
Samantha Johnson,4483557490857478,Merchant: Davis Group,online_shopping,49.41,15,3.17,0,0,0,0
Luke Freeman,4771556489643221,Merchant: Cohen and Sons,online_shopping,68.1,5,6.66,1,1,0,0
Luis Murphy,4696318158996097,Merchant: Schmitt Ltd,grocery,21.33,6,9.46,0,0,1,0
Aaron Zamora,4263430926204820,Merchant: Schroeder and Sons,grocery,27.98,10,18.93,0,0,0,0
Henry Garcia,4015217381018972,"Merchant: Davis, Hoffman and Garcia",online_shopping,49.52,6,52.81,0,0,2,0
Bradley Robertson Jr.,4324715258999675,Merchant: Stewart PLC,grocery,55.53,12,14.93,1,0,2,0
John Moore,4903169728188585,Merchant: Ramirez Inc,gas_station,8.63,13,7.44,0,0,2,0
Courtney Foster,4073431908573463,"Merchant: Torres, Smith and Wise",gas_station,30.01,19,20.13,0,0,0,0
Jeffrey White,4758970154227094,Merchant: Snyder-Tucker,online_shopping,26.77,15,9.01,0,0,1,0
Ashley Gonzales,4577200536889083,Merchant: Long Inc,dining,40.11,14,10.82,1,0,2,0
Candice Gomez,4435382018776715,Merchant: Daniel-Graham,dining,33.71,22,2.18,0,0,0,0
Ian Harrell,4944115309127071,Merchant: Allen Inc,online_shopping,27.02,11,14.83,1,0,0,0
Colton Williams,4662062724470993,Merchant: Stevens-Grimes,dining,25.48,13,7.99,0,0,0,0
Patrick Santana,4745071623925263,Merchant: Sanders-Reed,gas_station,48.42,2,44.89,1,0,2,0
Cristian Mendoza,4557576811200565,Merchant: Clark-Serrano,grocery,42.48,8,2.05,0,0,1,0
Deborah Fisher,4553040743938721,"Merchant: Lowe, Lee and Barrera",electronics,38.7,19,2.94,0,0,1,0
Rebecca Klein,4075933592423846,Merchant: Hall Ltd,online_shopping,12.09,10,8.23,0,0,0,0
Phillip Macias,4823289017106374,"Merchant: Sullivan, Delacruz and Walker",dining,24.03,9,22.81,0,0,1,0
Tammy Cameron,4186893839543457,Merchant: Obrien-Molina,travel,9.56,17,6.27,1,0,1,0
Brian Rodriguez,4128403840588706,"Merchant: Garza, Davis and Smith",dining,15.96,14,38.51,0,0,0,0
Christopher Porter,4919318732335193,Merchant: Davis-Marquez,grocery,22.84,18,2.56,0,0,1,0
Cynthia Gregory,4096233440593899,"Merchant: Wiley, Blackwell and Carney",electronics,159.89,7,0.85,0,0,3,0
William Mclaughlin,4333787335805828,"Merchant: Hays, Smith and Frederick",gas_station,42.75,11,2.57,0,0,0,0
Dylan Tucker,4981488059515561,Merchant: Brady Ltd,grocery,109.24,20,14.57,1,0,2,0
Danielle Hernandez,4464227300636479,Merchant: Thomas Inc,grocery,11.08,9,8.85,1,0,1,0
Danielle Wang,4487042804891923,Merchant: Clark-Valdez,dining,16.44,23,13.9,0,0,0,0
Wendy Wright,4476337799380475,Merchant: Heath-Smith,grocery,25.17,13,4.17,0,0,0,0
Christina Mccarthy,4130376049191793,Merchant: Mitchell Inc,online_shopping,91.32,15,8.15,0,0,0,0
Meredith Shaw,4057973108027139,Merchant: Hansen-Smith,gas_station,36.82,3,38.42,0,0,1,0
Willie Garza,4225578419032228,Merchant: Foster Group,online_shopping,12.95,1,14.18,1,0,1,0
Crystal Anderson,4138869186607094,Merchant: Ryan Inc,online_shopping,52.06,7,3.46,1,0,2,0
William Hickman,4195724168584532,Merchant: Smith-Wilkins,gas_station,20.19,15,15.25,0,0,0,0
Luis Davis,4981053405347497,"Merchant: Sims, Cain and Johnson",dining,27.87,19,7.7,0,0,1,0
Jason Torres,4308107993456510,Merchant: Ford-Kelly,grocery,18.29,16,8.83,0,0,0,0
Crystal Rogers,4907267453396252,"Merchant: Klein, Nguyen and Brown",online_shopping,15.01,7,23.05,0,0,1,0
Jordan Schneider,4780271522737225,Merchant: Hernandez Group,online_shopping,57.58,12,7.65,0,0,1,0
Derrick Ramirez,4386171681383589,Merchant: Williams-Kennedy,gas_station,38.59,5,7.25,0,0,2,0
Jason Flores,4781052450357833,"Merchant: Mueller, Kennedy and Farmer",grocery,5.31,21,12.43,0,0,1,0
Andrew Williams,4421135796144407,Merchant: Williams Inc,online_shopping,31.01,11,25.11,0,0,0,0
Christy Kennedy,4579979843152271,Merchant: Leon PLC,dining,35.3,11,20.23,1,0,0,0
Ashlee Lopez,4107465506530202,"Merchant: Harding, Clay and Mosley",grocery,50.97,11,10.91,1,0,1,0
Heidi Torres,4686523204204220,"Merchant: Richardson, Williamson and Case",electronics,6.46,7,34.63,0,0,1,0
Adam Arnold,4704284850136723,Merchant: Thomas-Brown,grocery,22.69,7,7.67,0,0,0,0
Erin Figueroa,4508932008587522,Merchant: Howard-Perry,dining,58.85,11,2.31,1,0,1,0
Richard Rice,4932694464310296,Merchant: Sherman Group,grocery,27.46,16,28.51,0,0,1,0
Matthew Clark,4209765835717868,Merchant: Day-Johnson,gas_station,17.37,17,2.32,0,0,1,0
Stephen Anderson,4089279979348329,Merchant: Thompson PLC,travel,19.28,8,2.35,0,0,1,0
Barbara Willis,4807426890175015,Merchant: Hart-Evans,grocery,23.81,15,20.75,1,0,0,0
Martha Lee,4754750316815737,Merchant: Collins LLC,dining,35.05,10,2.79,1,0,1,0
Tammy Jones,4640968012003907,"Merchant: Sanchez, Warner and Parker",online_shopping,32.26,7,0.2,0,0,1,0
Grace Swanson,4970476595440884,Merchant: Moore-Blake,online_shopping,16.14,12,8.21,0,0,0,0
Christina Le MD,4037219304180842,Merchant: Barrett-Brown,electronics,27.59,13,4.05,0,0,0,0
Joshua King,4960462087384329,"Merchant: Santos, Dixon and Clark",grocery,30.44,9,4.39,1,0,0,0
